agent_id,customer_id,amount,timestamp,payment_method,remittance_status,branch
AGT039,CUST0317,607.52,2026-05-13 17:22:38,bank_transfer,remitted,Accra
AGT029,CUST0451,1442.49,2026-04-24 22:27:15,cash,pending,Takoradi
AGT015,CUST0123,1908.99,2026-05-10 10:59:40,bank_transfer,remitted,Cape_Coast
AGT043,CUST0390,1448.36,2026-04-13 08:43:30,cash,remitted,Takoradi
AGT008,CUST0009,1728.5,2026-05-11 16:46:02,momo,remitted,Cape_Coast
AGT021,CUST0262,24.17,2026-02-11 16:13:01,bank_transfer,missed,Accra
AGT039,CUST0073,1440.79,2026-03-10 02:10:09,bank_transfer,missed,Takoradi
AGT019,CUST0359,1662.58,2026-03-07 15:43:27,bank_transfer,pending,Accra
AGT023,CUST0223,100.31,2026-01-30 10:21:38,momo,remitted,Cape_Coast
AGT011,CUST0416,1745.76,2026-06-08 00:15:15,cash,remitted,Kumasi
AGT011,CUST0041,528.25,2026-04-19 14:34:04,momo,pending,Takoradi
AGT024,CUST0370,1337.28,2026-03-15 21:27:13,momo,remitted,Accra
AGT036,CUST0204,1604.7,2026-06-11 07:34:35,bank_transfer,remitted,Takoradi
AGT040,CUST0264,1332.08,2026-01-20 00:04:23,cash,missed,Takoradi
AGT024,CUST0328,202.72,2026-05-24 11:59:57,momo,remitted,Takoradi
AGT003,CUST0178,1200.72,2026-01-05 23:08:26,bank_transfer,remitted,Tamale
AGT022,CUST0348,1108.18,2026-02-20 14:05:13,momo,remitted,Accra
AGT002,CUST0318,1802.64,2026-04-28 20:27:18,momo,remitted,Accra
AGT024,CUST0084,820.39,2026-01-03 01:44:20,bank_transfer,remitted,Takoradi
AGT044,CUST0318,655.74,2026-05-15 05:55:13,bank_transfer,remitted,Kumasi
AGT030,CUST0111,1504.7,2026-03-07 23:58:43,cash,pending,Takoradi
AGT038,CUST0251,837.1,2026-01-10 17:21:00,momo,remitted,Tamale
AGT002,CUST0383,1299.27,2026-03-05 11:33:42,bank_transfer,missed,Cape_Coast
AGT021,CUST0007,1299.97,2026-03-19 23:09:25,bank_transfer,remitted,Tamale
AGT033,CUST0459,1778.32,2026-03-21 00:30:25,cash,remitted,Kumasi
AGT012,CUST0084,1205.41,2026-06-14 17:27:25,cash,pending,Takoradi
AGT022,CUST0208,1014.26,2026-02-23 08:14:14,bank_transfer,pending,Accra
AGT044,CUST0388,294.97,2026-05-28 15:50:20,cash,remitted,Takoradi
AGT025,CUST0390,249.16,2026-03-03 20:50:10,bank_transfer,missed,Kumasi
AGT049,CUST0314,325.56,2026-04-04 16:00:03,momo,pending,Accra
AGT027,CUST0022,360.26,2026-01-09 20:34:54,cash,missed,Tamale
AGT042,CUST0410,1283.0,2026-04-20 11:18:31,momo,remitted,Cape_Coast
AGT028,CUST0383,1487.14,2026-01-02 14:10:04,momo,pending,Cape_Coast
AGT016,CUST0003,1069.38,2026-04-04 17:33:33,momo,missed,Takoradi
AGT015,CUST0127,1661.46,2026-03-31 08:58:49,bank_transfer,pending,Tamale
AGT047,CUST0297,1982.7,2026-06-08 23:35:10,momo,remitted,Kumasi
AGT044,CUST0188,1643.63,2026-03-04 04:45:24,momo,remitted,Cape_Coast
AGT003,CUST0362,1395.87,2026-06-08 02:23:41,momo,remitted,Tamale
AGT037,CUST0014,1074.34,2026-03-07 03:15:34,bank_transfer,remitted,Takoradi
AGT007,CUST0459,908.73,2026-01-31 19:56:20,momo,missed,Accra
AGT021,CUST0466,187.1,2026-04-02 02:43:03,momo,remitted,Takoradi
AGT009,CUST0012,810.75,2025-12-23 08:45:58,cash,remitted,Takoradi
AGT039,CUST0087,1822.07,2026-01-24 02:39:07,bank_transfer,missed,Tamale
AGT018,CUST0012,1619.88,2026-03-25 00:58:56,momo,remitted,Cape_Coast
AGT004,CUST0397,447.78,2026-01-03 02:56:38,cash,remitted,Tamale
AGT025,CUST0025,943.88,2026-03-24 12:07:24,bank_transfer,remitted,Accra
AGT014,CUST0301,1637.11,2026-03-20 23:35:05,bank_transfer,remitted,Tamale
AGT050,CUST0243,153.42,2026-02-10 19:10:26,bank_transfer,remitted,Kumasi
AGT009,CUST0122,787.04,2026-04-15 10:16:30,bank_transfer,missed,Takoradi
AGT026,CUST0147,1706.65,2026-01-11 19:50:39,bank_transfer,remitted,Cape_Coast
AGT002,CUST0055,819.72,2026-06-14 00:09:21,bank_transfer,remitted,Accra
AGT020,CUST0238,173.68,2026-05-03 14:40:47,momo,remitted,Takoradi
AGT028,CUST0356,1094.22,2026-01-27 02:11:31,momo,remitted,Tamale
AGT047,CUST0173,1726.25,2026-06-13 18:44:01,momo,remitted,Kumasi
AGT007,CUST0392,1188.77,2026-04-13 18:21:33,momo,remitted,Tamale
AGT044,CUST0221,468.03,2026-05-03 05:18:16,cash,remitted,Takoradi
AGT008,CUST0119,780.79,2026-01-18 23:59:05,momo,pending,Accra
AGT047,CUST0309,911.24,2026-03-07 17:08:42,bank_transfer,remitted,Cape_Coast
AGT035,CUST0183,1166.95,2026-05-20 13:17:53,momo,remitted,Takoradi
AGT014,CUST0288,1523.52,2025-12-24 08:34:20,momo,pending,Accra
AGT017,CUST0307,215.77,2026-04-25 20:55:36,bank_transfer,remitted,Takoradi
